part_id,check_num,trial_num,success
16442937,1,40,True
16442937,2,60,True
16442937,3,80,True
16442937,4,100,True
16442937,5,120,True
16442937,6,140,True
16442937,7,160,True
16442937,8,180,True
16442937,9,200,True
16442937,10,220,True
16442937,11,240,True
16442937,12,260,True
16442937,13,280,True
16442937,14,300,True
16442937,15,320,True
16442937,16,340,True
16442937,17,360,True
16442937,18,380,True
16442937,19,400,True
16442937,20,420,True
16442937,21,440,True
16442937,22,460,True
16442937,23,480,True
20617844,0,20,True
20617844,1,40,True
20617844,2,60,True
20617844,3,80,True
20617844,4,100,True
20617844,5,120,True
20617844,6,140,True
20617844,7,160,True
20617844,8,180,True
20617844,9,200,True
20617844,10,220,True
20617844,11,240,True
20617844,12,260,True
20617844,13,280,True
20617844,14,300,True
20617844,15,320,True
20617844,16,340,True
20617844,17,360,True
20617844,18,380,True
20617844,19,400,True
20617844,20,420,True
20617844,21,440,True
20617844,22,460,True
20617844,23,480,True
13506087,0,20,True
13506087,1,40,True
13506087,2,60,True
13506087,3,80,True
13506087,4,100,True
13506087,5,120,True
13506087,6,140,False
13506087,7,160,True
13506087,8,180,True
13506087,9,200,True
13506087,10,220,True
13506087,11,240,True
13506087,12,260,True
13506087,13,280,True
13506087,14,300,True
13506087,15,320,True
13506087,16,340,True
13506087,17,360,True
13506087,18,380,True
13506087,19,400,True
13506087,20,420,True
13506087,21,440,True
13506087,22,460,True
13506087,23,480,True
25547199,0,20,True
25547199,1,40,True
25547199,2,60,True
25547199,3,80,True
25547199,4,100,True
25547199,5,120,True
25547199,6,140,True
25547199,7,160,True
25547199,8,180,True
25547199,9,200,True
25547199,10,220,True
25547199,11,240,True
25547199,12,260,True
25547199,13,280,True
25547199,14,300,True
25547199,15,320,True
25547199,16,340,True
25547199,17,360,True
25547199,18,380,True
25547199,19,400,True
25547199,20,420,True
25547199,21,440,True
25547199,22,460,True
25547199,23,480,True
10547967,0,20,True
10547967,1,40,True
10547967,2,60,True
10547967,3,80,True
10547967,4,100,True
10547967,5,120,True
10547967,6,140,True
10547967,7,160,True
10547967,8,180,True
10547967,9,200,True
10547967,10,220,True
10547967,11,240,True
10547967,12,260,True
10547967,13,280,True
10547967,14,300,True
10547967,15,320,True
10547967,16,340,True
10547967,17,360,True
10547967,18,380,True
10547967,19,400,True
10547967,20,420,True
10547967,21,440,True
10547967,22,460,True
10547967,23,480,True
80756766,0,20,True
80756766,1,40,True
80756766,2,60,True
80756766,3,80,True
80756766,4,100,True
80756766,5,120,True
80756766,6,140,True
80756766,7,160,True
